,Id,TotalSteps,Calories,ActiveTime,HeartRateAvg
0,2347167796,9519.666666666666,2043.4444444444443,286.55555555555554,64.16443904414743
1,4020332650,2267.2258064516127,2385.8064516129034,87.48387096774194,64.85567805103693
2,4388161847,10776.09375,3087.78125,272.15625,52.183312782572955
3,4558609924,7685.129032258064,2033.258064516129,309.06451612903226,80.35714285714286
4,5553957443,8612.58064516129,1875.6774193548388,242.61290322580646,60.16906236178682
5,5577150313,8304.433333333332,3359.633333333333,265.1,51.549708271364835
6,6117666160,7046.714285714285,2261.1428571428573,291.9642857142857,69.21668657225729
7,6775888955,2519.6923076923076,2131.769230769231,65.96153846153847,69.6238894373149
8,6962181067,9794.806451612903,1982.032258064516,287.1290322580645,64.1773968934119
9,8792009665,1853.7241379310344,1962.3103448275863,96.79310344827586,63.20702524698134
10,8877689391,16040.032258064517,3420.2580645161293,310.7096774193548,68.45695364238411
